date,sp500,gdp,gnp,gnp-gdp,oil,dow,gold,coffee,soy,2 YR,10 YR,30 YR,bci,cci,china tweets per month,trade tweet per month
9/1/2018,2901.500526,20848.45333,21107.65167,259.1983333,70.23210526,26232.66789,1198.4725,124.3873684,306.4327886,2.81,3.05,3.19,101.3276,101.3592,6,11
10/1/2018,2785.464783,20897.804,21150.423,252.619,70.74869565,25569.45818,1215.393478,140.5756522,315.8520403,2.87,3.15,3.39,101.1317,101.3421,1,10
11/1/2018,2723.229524,20964.81167,21219.18433,254.3726667,56.9635,25252.25,1220.945455,142.115,322.2816173,2.8,3.01,3.3,100.9309,101.2371,6,10
12/1/2018,2567.307368,21031.81933,21287.94567,256.1263333,49.52277778,23805.54526,1247.923529,130.72125,330.4820237,2.48,2.69,3.02,100.6356,101.0731,22,11
1/1/2019,2607.39,21098.827,21356.707,257.88,51.37571429,24157.79524,1291.745455,132.6185714,333.7771463,2.45,2.63,2.99,100.4933,100.8767,8,13
2/1/2019,2754.864211,21179.307,21451.55933,272.2523333,54.95473684,25605.52684,1320.065,134.4794737,334.5030415,2.52,2.73,3.09,100.3383,100.9283,10,5
3/1/2019,2803.98381,21259.787,21546.41167,286.6246667,58.15142857,25722.62095,1300.897619,129.4042857,329.2366748,2.27,2.41,2.81,100.2148,101.1383,3,2
4/1/2019,2903.8,21340.267,21641.264,300.997,63.86238095,26401.57714,1286.445,128.44,324.254404,2.27,2.51,2.93,100.0092,101.2958,2,3
5/1/2019,2854.705909,21402.118,,,60.82681818,25744.78864,1283.947619,127.7922727,305.3109191,1.95,2.14,2.58,99.82457,101.3903,60,18
6/1/2019,2890.166,21463.969,,,54.6575,26160.101,1359.0425,137.965,326.6147493,1.75,2,2.52,99.66283,101.3153,14,8
7/1/2019,2996.113636,21525.82,,,57.35809524,27089.18682,1412.978261,141.2852381,325.469849,1.89,2.02,2.53,99.46339,101.0979,15,6
8/1/2019,2897.498182,,,,54.80590909,26057.78591,1498.797619,134.4968182,314.6262821,1.5,1.5,1.96,99.18092,100.7652,45,23
9/1/2019,2982.156,,,,56.947,26900.214,1511.314286,136.415,322.4535253,1.63,1.68,2.12,98.88032,100.5851,23,14
